"1","Terry/Broden","Trump/Vance","Blank","Exhausted","Overvote"
"District 3 - Early Voting","195","1467","14","1881","3"
"District 3  - Question","29","155","1","120","3"
"District 31 - Absentee","108","569","14","473","4"
"District 31 - Early Voting","186","967","10","785","19"
"District 31  - Question","28","202","2","93","3"
"District 32 - Absentee","73","585","5","348","4"
"District 32 - Early Voting","99","682","4","306","3"
"District 32  - Question","44","688","4","104","2"
"District 33 - Absentee","67","767","5","426","2"
"District 33 - Early Voting","107","1242","4","338","2"
"District 33  - Question","23","237","0","42","3"
"District 34 - Absentee","110","765","16","673","4"
"District 34 - Early Voting","154","1414","7","962","8"
"District 34  - Question","38","513","4","127","1"
"District 35 - Absentee","112","554","5","746","4"
"District 35 - Early Voting","226","1126","8","1302","8"
"District 35  - Question","30","200","1","95","0"
"District 38 - Absentee","75","188","4","264","5"
"District 38 - Early Voting","7","14","0","9","0"
"District 38  - Question","34","171","2","58","5"
"District 4 - Absentee","128","386","8","1143","3"
"District 4 - Early Voting","288","1109","15","2433","11"
"District 4  - Question","49","210","5","160","3"
"District 40 - Absentee","39","203","4","201","2"
"District 40 - Early Voting","4","22","1","18","1"
"District 40  - Question","21","162","2","64","3"
"District 5 - Absentee","200","1573","28","1330","10"
"District 5 - Early Voting","7","36","0","19","0"
"District 5  - Question","30","266","1","67","3"
"District 6 - Absentee","158","1116","21","1093","1"
"District 6 - Early Voting","199","2158","14","1695","3"
"District 6  - Question","17","242","1","80","0"
"District 7 - Absentee","97","1105","8","492","5"
"District 7 - Early Voting","150","2641","20","828","6"
"District 7  - Question","19","243","2","32","1"
"District 8 - Absentee","110","1447","16","692","5"
"District 8 - Early Voting","97","2476","11","591","3"
"District 8  - Question","5","171","1","19","1"
"District 9 - Absentee","246","1275","31","1746","2"
"District 9 - Early Voting","127","1112","8","914","1"
"District 9  - Question","19","147","1","86","0"
"HD99 Fed Overseas Absentee","56","55","0","290","0"
"House District 30 - Judicial District 3","180","3116","28","1041","15"
"House District 30 - Judicial District 4","32","253","1","256","2"
"House District 36 - Judicial District 3","40","424","7","249","1"
"House District 36 - Judicial District 4","181","1562","18","989","15"
"House District 37 - Judicial District 3","101","666","6","459","9"
"House District 37 - Judicial District 4","21","96","1","79","2"
"House District 39 - Judicial District 2","84","341","7","334","10"
"House District 39 - Judicial District 4","19","78","0","32","3"
"Total","24468","193989","1888","119215","1218"
