"1","Stein/Ware","Trump/Vance","Blank","Exhausted","Overvote"
"District 28 - Early Voting","191","2310","12","531","1"
"District 28  - Question","31","354","2","49","1"
"District 29 - Absentee","206","1223","14","579","5"
"District 29 - Early Voting","169","2149","10","478","6"
"District 29  - Question","23","298","5","58","2"
"District 3 - Absentee","432","886","8","1357","2"
"District 3 - Early Voting","389","1467","14","1688","2"
"District 3  - Question","43","154","1","107","3"
"District 31 - Absentee","150","563","14","437","4"
"District 31 - Early Voting","286","965","10","688","18"
"District 31  - Question","30","202","2","91","3"
"District 32 - Absentee","103","587","5","316","4"
"District 32 - Early Voting","122","681","4","283","4"
"District 32  - Question","51","686","4","100","1"
"District 33 - Absentee","121","761","5","378","2"
"District 33 - Early Voting","139","1244","4","304","2"
"District 33  - Question","25","236","0","40","4"
"District 34 - Absentee","203","761","16","584","4"
"District 34 - Early Voting","320","1410","7","800","8"
"District 34  - Question","42","514","4","123","0"
"District 35 - Absentee","221","551","5","640","4"
"District 35 - Early Voting","472","1120","8","1063","7"
"District 35  - Question","39","201","1","85","0"
"District 38 - Absentee","91","191","4","247","3"
"District 38 - Early Voting","7","14","0","9","0"
"District 38  - Question","31","175","2","56","6"
"District 4 - Absentee","311","377","8","969","3"
"District 4 - Early Voting","671","1112","15","2048","10"
"District 4  - Question","67","208","5","144","3"
"District 40 - Absentee","63","203","4","177","2"
"District 40 - Early Voting","5","21","1","18","1"
"District 40  - Question","22","164","2","60","4"
"District 5 - Absentee","392","1572","28","1139","10"
"District 5 - Early Voting","7","36","0","19","0"
"District 5  - Question","42","265","1","56","3"
"District 6 - Absentee","316","1119","21","930","3"
"District 6 - Early Voting","474","2162","14","1416","3"
"District 6  - Question","26","243","1","70","0"
"District 7 - Absentee","144","1105","8","446","4"
"District 7 - Early Voting","220","2641","20","758","6"
"District 7  - Question","24","243","2","27","1"
"District 8 - Absentee","206","1440","16","603","5"
"District 8 - Early Voting","169","2474","11","521","3"
"District 8  - Question","6","172","1","17","1"
"District 9 - Absentee","450","1267","31","1550","2"
"District 9 - Early Voting","223","1107","8","823","1"
"District 9  - Question","33","145","1","74","0"
"HD99 Fed Overseas Absentee","94","55","0","252","0"
"House District 30 - Judicial District 3","293","3115","28","929","15"
"House District 30 - Judicial District 4","82","251","1","208","2"
"House District 36 - Judicial District 3","84","421","7","208","1"
"House District 36 - Judicial District 4","344","1545","18","845","13"
"House District 37 - Judicial District 3","158","662","6","407","8"
"House District 37 - Judicial District 4","30","96","1","69","3"
"House District 39 - Judicial District 2","114","337","7","308","10"
"House District 39 - Judicial District 4","18","79","0","32","3"
"Total","38757","193488","1888","105450","1195"
