"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Overvote"
"District 10 - Absentee","299","12","0","9","8","0","176","24","0","50","38","8","0","21","110","8","0","6","7","0","2","2","0","8","300","37","0","64","6","16","2","0","7","0","1","0","2","0","2","0","1","0","67","16","8","0","6","181","36","0","40","0","3","5","3","0","17","4"
"District 10 - Early Voting","154","3","1","2","2","0","133","11","0","30","13","4","0","9","44","6","0","1","3","0","1","1","0","3","127","24","0","30","8","8","0","0","1","0","0","0","1","0","0","1","0","0","17","14","5","0","1","108","19","0","23","0","0","0","4","0","8","2"
"District 10  - Question","21","1","0","1","1","0","18","2","0","7","2","1","0","4","11","2","0","0","1","0","0","1","0","3","7","3","0","7","1","2","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","2","7","2","0","6","0","1","1","1","0","4","0"
"District 11 - Absentee","309","7","0","6","12","0","273","24","0","78","31","12","1","34","110","7","0","2","14","0","3","3","0","7","412","64","0","90","7","23","2","0","3","0","1","0","1","0","1","0","1","0","86","19","12","0","8","214","41","0","50","0","0","5","2","0","9","2"
"District 11 - Early Voting","182","6","0","2","10","0","205","14","0","45","16","4","0","9","28","5","0","4","4","0","0","1","0","5","179","38","0","21","4","11","0","0","6","0","0","0","0","0","0","1","1","0","48","9","8","0","8","134","34","0","25","0","0","1","6","0","3","1"
"District 11  - Question","38","0","0","3","1","0","17","5","0","13","7","1","0","3","13","2","0","2","1","0","0","0","0","2","14","4","0","4","2","5","0","0","1","0","0","0","0","0","0","0","1","0","8","1","0","0","5","10","2","0","5","0","0","1","1","0","4","0"
"District 12 - Absentee","205","10","0","9","14","1","110","29","0","39","25","13","0","22","124","10","0","2","8","0","1","3","0","7","330","57","1","77","3","8","1","0","6","0","1","0","1","0","1","0","0","0","36","16","6","0","8","172","32","0","40","0","0","1","5","0","5","3"
"District 12 - Early Voting","139","6","0","4","7","0","119","8","0","33","14","8","0","10","43","5","0","2","10","0","1","1","0","4","143","32","1","36","3","12","2","0","2","0","1","0","0","0","1","0","0","0","25","6","5","0","8","104","29","0","22","0","2","0","2","0","1","2"
"District 12  - Question","34","3","0","2","1","0","9","2","0","8","5","3","0","0","17","1","0","1","1","0","0","1","0","0","15","7","0","5","1","5","1","0","0","0","0","0","0","0","0","0","0","0","4","2","3","0","2","4","2","0","5","0","0","1","1","0","0","1"
"District 13 - Absentee","184","6","0","9","9","0","92","8","0","46","14","13","0","10","119","10","0","4","6","0","3","4","0","4","256","43","0","64","6","9","5","0","5","0","1","0","0","0","0","0","1","0","43","6","6","0","2","121","25","0","43","0","1","2","3","0","5","1"
"District 13 - Early Voting","120","7","0","15","1","0","107","13","0","26","15","3","0","10","63","2","0","2","6","0","2","0","0","4","133","35","1","37","5","11","1","0","0","0","1","0","1","0","0","1","2","0","14","3","2","0","2","49","12","0","18","0","1","0","3","0","1","1"
"District 13  - Question","35","2","0","3","1","0","15","3","0","6","0","2","0","3","5","1","0","1","0","0","1","1","0","1","6","5","0","5","1","0","0","0","3","0","0","0","0","0","1","0","0","0","8","2","2","0","1","4","2","0","2","0","1","1","2","0","4","0"
"District 14 - Absentee","152","8","0","12","10","0","75","15","0","31","18","9","0","13","129","9","0","2","7","0","5","3","0","12","362","54","1","115","6","13","0","0","5","0","3","0","1","0","0","5","1","0","47","5","9","0","7","175","27","0","52","0","2","2","3","0","8","3"
"District 14 - Early Voting","134","7","0","5","7","0","95","11","0","24","17","3","0","17","71","4","0","7","5","0","4","3","0","5","252","40","0","61","9","6","2","0","2","0","1","0","1","0","2","3","1","0","24","7","4","0","6","135","31","0","27","0","1","2","2","0","11","0"
"District 14  - Question","48","3","0","2","4","0","21","6","0","14","6","5","1","5","26","5","0","4","3","0","0","3","0","6","17","8","0","10","4","2","1","0","2","2","0","0","1","0","0","2","1","0","19","1","2","0","3","13","0","0","6","0","0","1","0","0","6","6"
"District 15 - Absentee","291","14","0","6","15","0","164","22","0","59","33","12","0","24","117","12","0","1","18","0","4","2","0","8","338","51","0","84","5","23","1","0","6","0","2","0","0","0","2","1","0","0","72","22","15","0","8","209","42","0","42","1","3","7","6","0","10","2"
"District 15 - Early Voting","151","5","0","8","5","0","152","11","0","35","22","9","0","10","47","5","0","5","12","0","0","0","0","3","135","33","0","37","12","18","1","0","4","0","0","0","0","0","1","0","0","0","37","12","9","0","4","100","23","0","37","0","3","0","2","0","8","0"
"District 15  - Question","40","3","0","2","2","0","24","6","0","10","3","2","0","4","12","3","0","0","1","0","0","0","0","0","14","5","0","7","5","6","0","0","1","1","1","0","0","0","3","1","1","0","11","0","0","0","4","8","4","0","3","0","1","3","1","0","4","0"
"District 16 - Absentee","213","9","0","9","6","0","108","18","1","40","21","21","0","21","129","10","1","5","18","0","0","2","0","8","438","64","0","94","5","14","3","0","5","0","0","0","0","0","3","1","0","0","75","31","16","0","7","268","56","0","64","0","2","7","5","0","7","5"
"District 16 - Early Voting","143","3","0","2","12","0","110","12","0","31","15","9","0","13","63","16","0","1","8","0","0","6","0","2","260","38","0","39","0","9","2","0","4","0","1","0","0","0","0","0","0","0","38","7","11","0","3","196","33","0","50","0","1","5","3","0","6","1"
"District 16  - Question","35","0","0","2","1","0","25","3","0","7","3","3","0","4","16","2","0","1","3","0","0","0","0","1","14","2","0","7","1","1","0","0","1","0","0","0","0","0","0","0","0","0","8","1","2","0","0","15","1","0","5","0","0","2","1","0","5","2"
"District 17 - Absentee","151","12","0","13","4","0","75","14","0","39","25","17","0","12","163","9","0","5","11","1","2","3","0","10","481","65","1","110","5","10","2","1","3","0","4","0","1","0","0","0","0","0","56","4","10","0","10","233","38","0","56","0","4","1","7","0","8","1"
"District 17 - Early Voting","164","6","0","18","6","1","107","16","0","32","20","11","0","14","122","5","0","6","9","0","0","6","0","10","357","48","0","73","5","21","1","0","1","0","2","0","0","0","2","0","0","0","63","14","16","0","5","263","59","0","49","0","2","0","6","0","8","3"
"District 17  - Question","43","1","0","7","3","0","11","5","0","10","5","3","0","2","24","4","0","5","1","0","0","1","0","1","22","10","0","6","3","1","1","0","0","1","1","0","0","0","0","0","1","0","19","1","2","0","4","13","6","0","6","0","0","1","0","0","7","2"
"District 18 - Absentee","99","3","0","7","6","0","97","14","0","46","15","4","0","16","69","4","0","1","3","0","3","1","0","6","116","20","0","43","10","14","1","0","12","1","1","0","0","0","0","3","0","0","15","10","5","0","1","42","6","0","14","0","1","5","1","0","8","2"
"District 18 - Early Voting","49","2","0","1","3","1","23","4","0","10","2","3","0","1","26","1","0","1","2","0","0","0","0","3","41","14","0","13","2","1","0","0","2","0","0","0","0","0","0","0","0","1","16","4","3","0","2","35","5","0","11","0","0","1","2","0","3","1"
"District 18  - Question","15","1","0","0","2","0","9","1","0","3","0","1","0","1","6","0","0","1","3","0","0","0","0","0","7","2","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","4","1","0","4","1","0","0","0","0","3","0"
"District 19 - Absentee","83","8","0","9","14","0","45","15","1","26","4","8","0","9","81","9","0","7","9","0","2","3","0","7","206","28","0","54","8","4","2","0","3","0","1","0","0","0","0","1","1","0","30","6","7","0","2","90","23","0","17","0","1","1","3","0","9","3"
"District 19 - Early Voting","42","1","0","2","1","0","31","5","0","8","2","5","0","5","42","8","0","0","6","0","0","2","0","1","101","25","0","26","3","4","1","0","1","0","0","0","1","0","0","1","0","0","14","2","4","0","5","47","20","0","12","0","0","1","3","0","10","3"
"District 19  - Question","35","4","0","1","1","0","11","3","0","5","1","1","0","5","22","1","0","0","2","0","1","0","0","4","11","2","0","5","6","4","0","0","2","1","0","0","1","0","0","2","1","0","9","1","1","0","3","8","5","0","5","0","1","0","2","0","6","1"
"District 2 - Absentee","512","11","0","6","2","0","169","12","0","69","42","12","0","34","169","7","0","2","3","0","8","4","0","15","339","55","0","90","44","27","3","0","14","2","1","0","3","1","6","4","4","0","272","34","12","0","19","460","52","0","128","0","9","11","15","0","27","1"
"District 2 - Early Voting","7","1","0","1","0","0","2","0","0","3","0","0","0","0","2","1","0","0","0","0","0","0","0","0","3","2","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","9","1","0","6","0","0","0","0","0","2","0"
"District 2  - Question","36","0","0","0","0","0","8","3","0","4","3","2","0","4","13","0","0","0","0","0","0","0","0","2","8","1","0","8","3","2","0","0","2","1","0","0","0","0","0","0","0","0","17","2","1","0","1","4","3","0","7","0","2","1","0","0","1","0"
"District 20 - Absentee","156","7","1","12","10","2","97","15","1","20","16","9","0","16","133","10","0","4","16","0","2","5","0","6","290","47","0","62","1","10","1","0","3","0","0","0","1","0","1","2","0","0","50","8","3","0","6","153","25","0","40","0","2","1","4","0","4","0"
"District 20 - Early Voting","103","7","0","5","11","0","73","10","0","13","5","10","0","4","43","4","0","4","8","1","1","0","0","4","138","30","0","30","4","8","3","0","2","0","0","0","0","0","0","1","0","0","23","4","10","0","2","89","12","0","18","0","2","0","1","0","2","1"
"District 20  - Question","37","1","0","4","4","1","10","5","0","7","4","8","0","1","21","3","0","0","1","0","1","2","0","4","18","12","1","12","2","4","1","0","2","0","0","0","0","0","0","0","0","0","12","3","4","0","4","4","6","0","8","0","0","0","1","0","3","1"
"District 21 - Absentee","264","10","0","10","9","1","157","26","0","53","18","14","0","16","193","20","0","10","24","0","7","4","0","11","401","62","0","92","6","14","5","0","3","0","1","0","0","0","1","0","0","0","62","8","11","0","5","159","26","0","36","0","2","1","5","0","13","5"
"District 21 - Early Voting","135","7","0","11","6","1","113","14","0","23","12","9","0","3","65","6","0","8","8","0","0","7","0","3","181","36","0","38","3","13","0","0","3","0","0","0","0","0","0","2","0","0","17","7","5","0","2","72","16","0","28","0","0","3","2","0","4","1"
"District 21  - Question","22","1","0","3","2","0","22","4","0","4","0","1","0","1","18","0","0","2","1","0","0","1","0","0","12","3","0","5","1","3","1","0","0","0","2","0","0","0","1","1","2","0","6","1","0","0","1","3","4","0","6","0","0","0","0","0","5","0"
"District 22 - Absentee","123","7","0","6","5","0","79","16","0","21","8","8","0","6","96","6","0","7","3","0","6","5","0","11","146","35","0","47","7","5","2","0","2","2","0","0","0","0","0","2","3","0","32","2","4","0","3","45","9","0","15","0","1","2","1","0","3","1"
"District 22 - Early Voting","69","3","0","6","6","0","67","9","0","11","3","6","0","5","42","1","0","2","3","0","1","0","1","2","75","12","0","33","6","15","0","0","0","0","0","0","1","0","0","0","1","0","13","1","2","0","1","30","4","0","9","0","0","1","0","0","3","0"
"District 22  - Question","17","0","0","2","1","0","6","4","0","3","4","2","0","2","13","2","0","1","2","0","0","1","0","0","11","2","0","11","1","2","1","0","1","0","0","0","2","0","0","0","1","0","4","4","0","0","1","2","0","0","1","0","0","0","0","0","5","1"
"District 23 - Absentee","394","16","0","9","9","0","296","40","0","88","28","11","0","28","114","8","0","6","13","0","2","2","0","6","347","70","0","73","8","33","1","0","7","1","0","0","0","0","2","3","3","0","60","16","10","0","7","170","33","0","31","0","4","3","3","0","13","1"
"District 23 - Early Voting","291","7","0","8","12","0","285","26","0","59","23","8","0","17","64","9","0","3","5","0","1","1","0","6","175","38","0","35","6","34","2","0","11","1","0","0","1","0","0","2","1","0","36","13","5","0","5","122","23","0","30","0","5","5","2","0","5","0"
"District 23  - Question","32","0","0","0","1","1","20","4","0","20","2","1","0","1","8","0","0","2","2","0","0","0","0","1","13","2","0","6","4","6","0","0","2","0","0","0","0","0","0","0","0","0","5","1","1","0","1","3","3","0","0","0","0","0","0","0","1","2"
"District 24 - Absentee","317","10","1","10","5","0","236","30","0","57","29","15","0","19","80","7","0","3","8","0","0","2","0","4","221","37","0","44","12","17","2","0","9","0","1","0","1","0","1","3","0","0","42","13","10","0","10","117","16","0","26","0","3","5","3","0","9","1"
"District 24 - Early Voting","312","9","0","11","8","2","253","31","0","47","26","12","0","14","40","9","0","4","8","0","2","5","0","0","145","34","1","33","5","27","3","0","9","0","0","0","0","0","0","1","1","0","27","10","7","0","2","107","24","0","16","0","4","4","3","0","6","0"
"District 24  - Question","62","1","0","1","2","0","28","3","0","18","3","2","0","2","9","2","0","1","0","0","1","0","0","2","14","4","0","6","2","2","1","0","2","0","0","0","0","0","0","0","0","0","9","0","6","0","3","7","5","0","11","0","0","1","1","0","3","0"
"District 25 - Absentee","291","9","0","15","5","0","168","23","1","45","11","15","0","12","78","10","0","7","8","0","4","6","0","9","154","21","0","38","20","11","3","0","3","0","0","0","0","0","0","0","0","0","45","4","1","0","2","76","18","0","19","0","3","0","2","0","8","4"
"District 25 - Early Voting","441","7","1","21","9","1","346","40","0","60","33","12","0","11","94","10","0","10","11","0","2","4","0","9","199","31","0","59","21","25","5","0","4","0","0","0","1","0","0","2","2","0","60","13","10","0","3","133","33","0","32","0","1","2","7","0","14","0"
"District 25  - Question","83","2","0","3","3","1","55","9","0","18","4","3","0","3","16","2","0","0","3","0","1","0","0","3","10","2","0","7","1","4","0","0","3","0","0","0","0","0","0","1","0","0","3","0","6","0","2","12","4","0","1","0","0","1","2","0","0","1"
"District 26 - Absentee","270","5","0","5","5","0","181","17","0","46","13","4","0","19","55","7","0","1","4","0","1","5","0","2","84","21","0","22","7","19","1","0","5","1","0","0","1","1","0","1","1","0","19","5","4","0","7","33","12","0","18","0","2","2","0","0","5","4"
"District 26 - Early Voting","413","6","0","12","4","0","399","39","0","66","10","4","0","20","41","5","0","2","4","0","3","2","0","10","90","25","0","40","23","44","5","0","7","2","1","0","0","0","0","1","4","0","17","6","5","0","3","55","10","0","17","0","0","1","1","0","21","0"
"District 26  - Question","71","2","0","1","2","0","42","8","0","21","3","4","0","6","8","2","0","1","0","0","0","1","0","1","7","5","0","3","6","6","0","0","3","0","1","0","1","0","0","3","1","0","6","1","2","0","1","3","1","0","1","0","0","4","0","0","5","1"
"District 27 - Absentee","240","8","0","5","3","0","139","24","1","50","12","3","0","15","44","3","0","3","5","1","7","3","0","1","82","28","0","22","14","26","2","0","5","2","1","0","0","0","2","2","2","0","22","1","5","0","4","33","9","0","12","0","0","6","1","0","6","3"
"District 27 - Early Voting","455","10","0","10","9","0","373","55","0","74","17","9","0","15","53","7","0","5","11","0","5","3","0","6","90","30","0","26","21","44","4","0","10","0","3","0","2","0","3","4","0","0","32","8","7","0","5","53","19","0","18","0","2","3","2","0","10","1"
"District 27  - Question","76","1","0","2","1","0","54","9","0","24","2","3","0","1","6","1","0","0","1","0","1","0","0","0","5","3","0","0","4","9","1","0","1","0","0","0","0","0","0","2","0","0","4","5","1","0","4","2","0","0","4","1","1","1","0","0","4","0"
"District 28 - Absentee","271","7","0","11","5","0","149","31","0","41","9","9","0","5","58","7","0","3","8","0","1","1","0","2","94","21","0","16","7","17","4","0","2","2","0","0","0","0","1","0","0","0","23","11","5","0","8","48","21","0","21","0","0","0","6","0","1","1"
"District 28 - Early Voting","476","8","0","22","10","2","377","45","0","63","25","15","0","26","50","7","0","4","3","0","1","5","0","4","127","37","0","32","14","30","4","0","8","2","1","0","0","0","2","1","1","0","34","13","6","0","5","58","19","0","17","0","0","4","2","0","9","2"
"District 28  - Question","74","1","0","6","0","0","59","8","0","14","5","3","0","3","10","0","0","0","3","0","0","1","0","1","8","3","1","7","5","6","1","0","4","0","1","0","0","0","0","1","1","0","5","2","2","0","1","3","0","0","2","0","1","2","0","0","1","0"
"District 29 - Absentee","311","14","0","9","6","2","230","30","0","62","23","5","0","9","77","5","0","5","4","0","4","7","0","3","160","33","0","30","10","28","4","0","6","1","0","0","1","0","0","2","0","0","69","16","9","0","8","109","25","0","24","0","2","4","4","0","11","2"
"District 29 - Early Voting","442","7","0","17","6","1","346","47","0","62","21","7","0","17","51","8","0","6","8","0","1","1","0","2","128","23","0","34","13","34","4","0","9","0","0","0","0","0","0","3","0","0","24","7","6","0","2","75","18","0","12","0","3","1","4","0","6","0"
"District 29  - Question","58","3","0","1","0","0","35","10","0","7","5","1","0","2","8","6","0","3","2","0","0","1","0","2","11","3","0","4","3","5","0","0","3","0","0","0","0","0","0","2","0","0","14","3","2","0","0","10","4","0","2","0","1","2","3","0","8","0"
"District 3 - Absentee","209","5","0","2","4","0","107","12","0","50","30","10","0","20","108","1","0","1","5","0","2","1","0","5","325","41","0","94","15","13","1","0","6","0","2","0","1","0","3","3","0","0","153","20","10","0","9","338","39","0","98","1","6","8","10","0","19","3"
"District 3 - Early Voting","268","6","0","10","8","0","164","25","0","61","33","16","0","20","81","9","0","1","6","0","2","1","0","10","292","49","0","72","13","11","3","0","6","0","1","0","0","0","0","2","2","0","207","25","21","0","19","427","65","1","107","0","7","6","6","0","9","0"
"District 3  - Question","29","0","0","3","1","0","27","0","0","3","5","3","0","4","15","2","0","3","2","0","0","0","0","1","25","2","0","13","2","4","0","0","2","0","0","0","1","0","0","2","0","0","21","5","0","0","2","16","5","0","8","0","2","2","4","0","5","0"
"District 30 - Early Voting - 1","193","7","0","3","5","1","167","22","0","24","6","5","0","3","29","3","0","2","5","0","1","1","0","4","53","14","0","10","15","27","0","0","5","0","0","0","0","0","1","0","0","0","11","3","3","0","3","26","6","0","11","0","1","4","0","0","8","0"
"District 30 - Early Voting - 2","3","0","0","0","0","0","2","1","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","6","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0"
"District 30 - Question - 1","60","1","0","4","0","0","19","6","0","15","2","3","0","5","3","1","0","1","1","0","0","0","0","1","8","2","0","4","6","6","1","0","2","1","1","0","0","1","0","1","0","0","5","0","3","0","1","5","2","0","1","0","0","2","1","0","11","2"
"District 30 - Question - 2","14","0","0","0","0","0","11","0","0","2","0","0","0","2","1","0","0","0","0","0","0","0","0","0","4","0","0","1","0","2","1","0","1","0","0","0","0","1","0","1","0","0","3","0","0","0","0","2","0","0","1","1","0","1","0","0","0","0"
"District 31 - Absentee","123","3","0","9","4","0","81","17","1","39","10","7","0","10","58","1","0","2","5","0","1","2","0","1","93","16","0","44","11","10","0","0","4","0","0","0","1","0","0","4","2","0","72","10","11","0","4","97","8","0","22","0","4","3","4","0","8","1"
"District 31 - Early Voting","151","4","1","9","10","0","112","14","0","33","11","11","0","12","58","7","0","7","10","0","1","1","0","5","133","23","0","35","7","7","1","0","5","2","3","0","1","0","0","6","1","0","78","12","13","0","7","132","27","0","48","0","4","2","6","0","8","3"
"District 31  - Question","20","1","0","2","1","0","15","2","0","10","2","0","0","6","13","0","1","1","2","1","1","1","0","2","6","4","0","5","0","4","0","0","2","0","0","0","0","0","0","0","0","0","5","2","2","0","1","5","5","0","4","0","1","1","3","0","3","0"
"District 32 - Absentee","105","2","0","3","5","1","68","9","0","30","5","6","0","12","23","2","0","2","1","0","0","2","0","0","45","18","0","18","3","9","1","0","6","0","0","0","0","0","0","2","0","0","24","9","7","0","4","39","12","0","13","0","0","0","0","0","2","0"
"District 32 - Early Voting","89","3","0","4","1","0","76","10","0","17","3","3","0","8","19","1","0","0","3","0","1","0","0","0","43","6","0","12","5","5","0","0","2","0","1","0","1","0","0","0","0","0","32","2","10","0","4","61","9","0","13","0","1","2","6","0","0","0"
"District 32  - Question","29","1","0","1","1","0","14","6","0","10","2","6","0","3","3","0","0","0","2","0","0","0","0","1","1","3","0","4","1","3","0","0","4","0","0","0","0","0","1","0","0","1","3","0","3","0","1","0","2","0","2","0","0","0","2","0","1","1"
"District 33 - Absentee","183","1","0","7","2","0","132","14","0","76","9","5","0","11","33","2","0","1","5","0","0","2","0","3","76","15","0","19","6","21","1","0","6","0","1","0","0","0","3","2","0","0","23","6","1","0","5","49","10","0","22","0","1","4","2","0","4","1"
"District 33 - Early Voting","155","3","0","14","2","0","144","28","0","36","10","6","0","3","19","4","0","1","1","0","2","1","0","1","43","10","0","17","5","10","3","0","1","0","0","0","0","0","1","2","0","0","35","9","6","0","3","49","9","0","22","0","3","0","3","0","2","1"
"District 33  - Question","43","1","0","1","0","0","40","5","0","14","3","2","0","4","5","1","0","0","0","0","0","0","0","0","4","3","0","3","2","3","2","0","0","0","0","0","1","0","1","0","0","0","6","1","1","0","3","0","0","0","4","0","0","3","2","0","1","2"
"District 34 - Absentee","190","3","0","4","2","0","175","19","1","58","18","7","0","18","53","4","0","0","5","0","0","0","0","2","172","25","0","36","8","12","2","0","1","0","1","0","0","0","0","2","4","0","49","12","12","0","19","183","23","0","54","0","4","2","5","0","11","4"
"District 34 - Early Voting","197","3","0","3","4","0","224","24","0","36","25","9","0","20","49","2","0","2","3","0","2","1","0","6","178","21","0","42","9","18","2","0","4","1","1","0","2","0","0","4","2","0","51","16","12","0","10","295","27","0","58","0","4","5","11","0","5","0"
"District 34  - Question","52","2","0","2","2","0","38","2","0","16","3","0","0","7","13","0","0","0","1","0","0","0","0","2","11","5","0","3","7","5","0","0","2","0","0","0","3","0","2","0","3","0","19","0","0","0","1","8","1","0","5","0","0","0","4","0","1","1"
"District 35 - Absentee","122","8","0","7","3","0","118","12","0","55","19","6","0","11","52","4","0","3","4","0","1","5","0","5","206","20","0","70","6","11","0","0","1","0","0","0","0","1","3","0","0","0","85","11","7","0","3","212","18","0","39","0","5","2","4","0","6","3"
"District 35 - Early Voting","174","4","0","6","9","0","138","16","0","45","14","5","0","10","56","9","0","2","3","0","1","1","0","6","256","41","0","74","8","16","1","1","2","0","0","0","0","0","2","3","2","0","84","12","19","1","13","329","43","0","79","0","6","5","7","0","7","0"
"District 35  - Question","33","0","0","1","1","0","19","6","0","9","4","1","0","7","11","1","0","1","1","0","1","0","0","0","14","9","0","4","3","3","2","0","2","0","1","0","0","0","0","2","0","0","25","1","0","0","2","8","3","0","5","0","0","1","5","1","4","0"
"District 36 - Early Voting - 1","6","0","0","1","0","0","8","2","0","1","1","0","0","0","2","0","0","0","2","0","0","1","0","0","12","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","4","1","2","0","0","3","0","0","1","0","0","0","0","0","0","0"
"District 36 - Early Voting - 2","64","3","0","2","1","0","53","3","0","9","5","7","0","6","21","0","0","0","2","0","1","0","0","0","70","10","0","17","1","4","2","0","1","0","0","0","0","0","0","0","1","0","21","3","4","0","1","90","16","0","23","0","0","0","1","0","2","0"
"District 36 - Question - 1","16","0","0","0","0","0","6","4","0","3","0","2","0","1","2","1","0","1","0","0","0","0","0","1","2","0","0","1","1","2","0","0","1","0","0","0","0","0","0","1","0","0","3","2","1","0","0","4","4","0","0","0","0","0","1","0","1","1"
"District 36 - Question - 2","53","2","0","2","4","0","16","4","0","4","3","10","2","2","7","0","0","0","3","0","0","0","0","0","9","6","0","5","9","5","0","0","3","1","0","0","0","0","1","0","0","0","19","1","4","0","3","8","3","0","6","0","0","1","0","0","1","0"
"District 37 - Early Voting - 1 ","22","0","1","2","0","0","4","2","0","2","3","0","0","0","3","1","0","0","1","0","0","1","0","0","4","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","5","3","0","4","0","2","0","0","0","0","0"
"District 37  - Question - 1","19","0","0","3","1","0","8","3","0","1","3","1","0","2","4","1","0","0","0","0","0","0","0","0","7","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","10","0","1","0","0","4","0","0","2","0","2","1","1","0","2","0"
"District 37  - Question - 2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0"
"District 38 - Absentee","44","0","0","5","6","1","17","7","0","9","4","6","0","12","31","0","0","1","10","0","0","2","0","3","47","10","0","23","6","0","0","0","0","0","0","0","3","0","0","0","0","0","25","3","9","0","8","34","11","1","15","0","0","0","1","0","2","0"
"District 38 - Early Voting","4","0","0","1","2","0","0","0","0","2","2","6","0","2","5","0","0","1","2","0","0","0","0","1","2","5","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","2","2","1","0","2","0","0","0","1","0","0","1"
"District 38  - Question","24","0","0","6","3","0","11","6","0","9","3","7","0","13","20","1","0","1","1","0","0","0","1","3","5","4","0","4","1","1","2","0","1","0","0","0","0","1","0","0","0","0","12","1","7","0","6","1","3","0","3","0","0","0","3","0","7","2"
"District 39 - Early Voting - 1","27","2","0","1","4","0","11","6","0","7","8","6","0","3","14","1","0","1","1","0","0","0","0","3","29","7","0","6","1","1","0","0","0","0","0","0","1","2","0","2","0","0","14","1","2","0","3","17","10","0","12","0","1","1","3","0","0","0"
"District 39 - Early Voting - 2","1","0","0","0","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","2","0","0","0","0","0","0","0","0","0"
"District 39  - Question - 1","13","1","0","2","1","1","1","2","0","3","1","2","0","3","3","0","0","1","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0","1","0","3","1","3","0","0","2","1","0","3","0"
"District 39  - Question - 2","3","0","0","2","1","0","3","0","0","3","0","1","0","2","4","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0"
"District 4 - Absentee","104","5","0","2","6","0","59","12","1","17","17","10","0","13","87","7","0","0","10","0","0","0","0","4","291","43","0","62","11","3","0","0","2","0","1","0","0","0","0","2","0","0","101","8","13","0","5","361","39","1","70","2","1","6","4","0","12","2"
"District 4 - Early Voting","226","7","0","9","9","1","125","19","0","45","23","29","0","19","83","5","0","2","10","0","1","3","0","6","415","62","2","85","10","8","1","0","3","2","2","0","1","0","2","1","0","0","155","24","22","0","8","684","78","1","143","0","5","7","6","0","15","2"
"District 4  - Question","34","2","1","3","2","1","9","10","0","10","6","6","0","3","18","0","0","0","2","0","0","0","0","3","21","10","0","10","2","1","1","0","1","0","2","0","0","0","0","0","1","0","41","1","4","0","0","37","14","0","33","0","1","0","6","0","5","2"
"District 40 - Absentee","44","1","0","3","4","0","6","4","0","2","6","8","0","2","12","0","0","1","2","0","0","0","0","1","30","11","0","5","3","0","1","0","1","0","0","0","0","0","0","0","1","0","25","1","4","0","2","29","7","0","15","0","0","0","3","0","3","0"
"District 40 - Early Voting","5","0","0","0","2","0","6","3","0","2","0","0","0","0","3","0","0","0","1","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","2","1","1","0","1","0","0","0","0","0","1","0"
